Algorithm,Time,Steps,Length
BFS,10.19,80,16
DFS,1.93,19,16
BestFS,1.21,20,16
A,1.78,23,16
Dijkstra,11.3,164,16
BestFS Euclidean,0.6,20,16
A Euclidean,0.66,34,16
BFS,2.46,82,26
DFS,2.54,65,56
BestFS,0.5,34,26
A,0.84,52,26
Dijkstra,6.31,164,26
BestFS Euclidean,0.43,34,26
A Euclidean,0.86,57,26
BFS,6.22,163,75
DFS,4.41,126,99
BestFS,2.62,127,75
A,2.41,153,75
Dijkstra,12.79,324,75
BestFS Euclidean,2.19,136,85
A Euclidean,2.44,155,75
BFS,0.73,21,7
DFS,1.39,33,27
BestFS,0.25,11,7
A,0.29,10,7
Dijkstra,1.72,43,7
BestFS Euclidean,0.24,16,7
A Euclidean,0.29,13,7
BFS,1.85,61,17
DFS,5.92,201,17
BestFS,0.44,24,17
A,0.52,26,17
Dijkstra,4.57,122,17
BestFS Euclidean,0.4,24,17
A Euclidean,0.49,37,17
BFS,6.91,190,82
DFS,5.0,145,82
BestFS,1.94,131,82
A,2.61,170,82
Dijkstra,14.72,381,82
BestFS Euclidean,1.55,118,82
A Euclidean,2.1,170,82
BFS,6.5,194,64
DFS,5.08,134,92
BestFS,1.72,106,68
A,1.89,127,64
Dijkstra,14.43,388,64
BestFS Euclidean,1.53,106,64
A Euclidean,1.87,142,64
BFS,6.37,203,37
DFS,1.97,56,37
BestFS,0.85,50,37
A,1.65,132,37
Dijkstra,14.36,403,37
BestFS Euclidean,0.75,50,37
A Euclidean,1.63,166,37
BFS,0.88,31,11
DFS,2.81,74,63
BestFS,0.28,17,11
A,0.42,20,11
Dijkstra,2.72,74,11
BestFS Euclidean,0.26,17,11
A Euclidean,0.4,23,11
BFS,2.54,77,27
DFS,1.26,35,29
BestFS,0.61,47,29
A,0.69,41,27
Dijkstra,5.97,159,27
BestFS Euclidean,0.81,45,29
A Euclidean,0.7,66,27
BFS,0.69,21,10
DFS,0.24,12,10
BestFS,0.26,13,10
A,0.43,14,10
Dijkstra,1.77,42,10
BestFS Euclidean,0.24,13,10
A Euclidean,0.34,14,10
BFS,5.73,174,69
DFS,4.69,147,83
BestFS,1.68,128,81
A,2.09,142,69
Dijkstra,14.12,346,69
BestFS Euclidean,2.77,119,89
A Euclidean,1.99,156,69
BFS,4.74,145,30
DFS,7.93,208,30
BestFS,0.65,35,30
A,0.93,42,30
Dijkstra,10.85,295,30
BestFS Euclidean,0.64,35,30
A Euclidean,0.92,53,30
BFS,2.19,71,23
DFS,1.52,44,35
BestFS,0.38,32,25
A,0.87,30,23
Dijkstra,5.61,145,23
BestFS Euclidean,0.53,28,23
A Euclidean,0.6,49,23
BFS,4.02,132,52
DFS,4.96,144,70
BestFS,1.41,99,52
A,1.66,105,52
Dijkstra,10.79,275,52
BestFS Euclidean,1.31,100,52
A Euclidean,1.45,107,52
BFS,2.28,71,20
DFS,6.43,205,98
BestFS,2.27,115,96
A,0.76,36,20
Dijkstra,5.43,145,20
BestFS Euclidean,0.47,34,20
A Euclidean,0.74,35,20
BFS,2.73,84,23
DFS,5.46,184,23
BestFS,0.6,32,27
A,0.55,49,23
Dijkstra,6.13,171,23
BestFS Euclidean,0.53,32,27
A Euclidean,0.79,49,23
BFS,1.5,48,17
DFS,4.23,141,53
BestFS,0.68,65,17
A,0.53,27,17
Dijkstra,3.58,103,17
BestFS Euclidean,0.55,59,17
A Euclidean,0.55,35,17
BFS,5.44,167,50
DFS,3.08,92,56
BestFS,2.05,150,50
A,1.94,140,50
Dijkstra,13.01,334,50
BestFS Euclidean,2.27,150,50
A Euclidean,1.7,146,50
BFS,2.17,65,19
DFS,1.11,30,23
BestFS,0.47,23,19
A,0.59,26,19
Dijkstra,4.93,129,19
BestFS Euclidean,0.52,23,19
A Euclidean,0.59,32,19
BFS,6.98,195,87
DFS,4.55,115,87
BestFS,2.18,177,95
A,2.75,194,87
Dijkstra,15.58,389,87
BestFS Euclidean,2.51,169,99
A Euclidean,2.49,193,87
BFS,3.94,148,37
DFS,2.67,79,59
BestFS,1.06,73,37
A,1.46,119,37
Dijkstra,10.37,297,37
BestFS Euclidean,0.94,68,37
A Euclidean,1.65,123,37
BFS,3.23,112,26
DFS,1.09,29,26
BestFS,1.1,81,26
A,0.91,69,26
Dijkstra,8.18,232,26
BestFS Euclidean,0.86,76,26
A Euclidean,1.0,75,26
BFS,1.64,58,12
DFS,1.24,37,12
BestFS,0.39,35,14
A,0.36,21,12
Dijkstra,4.05,117,12
BestFS Euclidean,0.49,21,12
A Euclidean,0.5,21,12
BFS,0.57,21,7
DFS,5.04,175,7
BestFS,0.23,9,7
A,0.29,8,7
Dijkstra,1.27,37,7
BestFS Euclidean,0.13,9,7
A Euclidean,0.22,8,7
BFS,2.88,88,35
DFS,3.53,119,43
BestFS,0.7,50,35
A,1.15,52,35
Dijkstra,6.35,177,35
BestFS Euclidean,0.69,50,35
A Euclidean,0.71,54,35
BFS,0.38,12,5
DFS,0.22,8,5
BestFS,0.16,9,5
A,0.22,9,5
Dijkstra,1.06,30,5
BestFS Euclidean,0.14,9,5
A Euclidean,0.24,9,5
BFS,2.14,72,27
DFS,1.2,33,27
BestFS,0.81,61,27
A,1.01,62,27
Dijkstra,5.65,149,27
BestFS Euclidean,0.74,56,27
A Euclidean,0.94,62,27
BFS,3.16,98,41
DFS,2.33,68,41
BestFS,0.61,51,41
A,1.15,73,41
Dijkstra,9.14,194,41
BestFS Euclidean,1.96,51,41
A Euclidean,2.05,74,41
BFS,1.15,32,11
DFS,4.14,124,47
BestFS,0.27,15,11
A,0.36,18,11
Dijkstra,2.6,75,11
BestFS Euclidean,0.28,15,11
A Euclidean,0.42,19,11
BFS,2.71,88,26
DFS,3.37,127,40
BestFS,0.53,35,26
A,0.81,47,26
Dijkstra,6.48,175,26
BestFS Euclidean,0.55,35,26
A Euclidean,0.7,49,26
BFS,4.76,158,24
DFS,3.46,110,28
BestFS,0.77,42,28
A,0.73,64,24
Dijkstra,11.11,324,24
BestFS Euclidean,0.73,47,28
A Euclidean,0.94,77,24
BFS,5.8,183,41
DFS,2.24,60,41
BestFS,0.91,87,41
A,1.46,115,41
Dijkstra,14.59,365,41
BestFS Euclidean,1.11,81,41
A Euclidean,1.79,132,41
BFS,3.16,98,30
DFS,1.59,44,36
BestFS,0.69,43,30
A,0.84,68,30
Dijkstra,7.1,194,30
BestFS Euclidean,0.6,42,30
A Euclidean,0.84,72,30
BFS,1.46,56,18
DFS,4.72,160,18
BestFS,0.63,26,22
A,0.46,28,18
Dijkstra,4.28,116,18
BestFS Euclidean,0.39,26,22
A Euclidean,0.6,35,18
BFS,0.58,19,6
DFS,4.15,142,6
BestFS,0.19,10,6
A,0.27,11,6
Dijkstra,1.37,38,6
BestFS Euclidean,0.13,10,6
A Euclidean,0.26,11,6
BFS,4.34,149,27
DFS,4.4,131,51
BestFS,0.81,38,27
A,0.86,53,27
Dijkstra,11.76,301,27
BestFS Euclidean,0.89,36,27
A Euclidean,0.85,64,27
BFS,2.62,84,26
DFS,1.42,77,30
BestFS,0.5,42,26
A,0.79,45,26
Dijkstra,6.37,171,26
BestFS Euclidean,0.74,43,26
A Euclidean,0.75,56,26
BFS,2.25,106,17
DFS,2.41,74,23
BestFS,0.48,27,17
A,0.63,31,17
Dijkstra,7.47,217,17
BestFS Euclidean,0.49,24,17
A Euclidean,0.69,46,17
BFS,6.43,173,118
DFS,6.49,180,132
BestFS,2.39,150,118
A,2.35,145,118
Dijkstra,13.76,351,118
BestFS Euclidean,2.41,142,118
A Euclidean,2.42,152,118
BFS,5.21,171,30
DFS,3.05,89,70
BestFS,1.33,92,64
A,1.32,90,30
Dijkstra,13.71,341,30
BestFS Euclidean,0.82,56,30
A Euclidean,1.24,99,30
BFS,4.61,145,30
DFS,1.53,41,34
BestFS,0.76,42,30
A,1.57,117,30
Dijkstra,13.31,288,30
BestFS Euclidean,0.46,40,30
A Euclidean,2.14,128,30
BFS,7.63,206,57
DFS,5.54,146,87
BestFS,2.49,172,57
A,2.36,211,57
Dijkstra,16.55,411,57
BestFS Euclidean,2.05,170,57
A Euclidean,2.77,206,57
BFS,1.61,48,17
DFS,5.68,150,93
BestFS,0.62,34,17
A,0.69,26,17
Dijkstra,3.67,98,17
BestFS Euclidean,0.61,32,17
A Euclidean,2.74,30,17
BFS,4.53,106,34
DFS,3.91,101,82
BestFS,1.06,47,34
A,1.54,64,34
Dijkstra,16.96,214,34
